OccurrenceTime,Level,Latitude,Longitude,Depth,Location
2021-04-05 23:20:01,4.8,27.15,88.85,28,不丹
2021-04-05 17:23:19,3.7,41.26,91.23,8,新疆吐鲁番市鄯善县
2021-04-05 15:37:49,6,-37.55,179.45,10,新西兰北岛附近海域
2021-04-05 09:28:38,3.4,41.96,81.24,10,新疆阿克苏地区拜城县
2021-04-05 04:09:46,3.8,36.79,75.89,10,新疆喀什地区塔什库尔干县
2021-04-04 12:35:26,3.7,35.52,89.35,10,西藏那曲市安多县
2021-04-04 09:41:01,5.6,-19.85,14.6,10,纳米比亚
2021-04-04 02:42:02,5.9,-5.15,128.2,330,班达海
2021-04-03 19:21:30,3.6,34.34,87.67,10,西藏那曲市双湖县
2021-04-03 09:16:38,6.6,-57.95,-7.75,10,南桑威奇群岛以东
2021-04-03 00:19:28,3,35.91,82.25,10,新疆和田地区于田县
2021-04-02 19:39:39,3.2,35.53,89.38,10,西藏那曲市安多县
2021-04-02 16:58:35,4.2,34.47,87.9,10,西藏那曲市双湖县
2021-04-02 15:55:51,4.4,35.55,89.51,10,西藏那曲市安多县
2021-04-02 14:15:08,3.1,32.82,101.15,10,青海果洛州班玛县
2021-04-02 05:40:18,3.7,23.85,114.5,10,广东河源市东源县
2021-04-02 03:20:04,4.3,40.83,79,8,新疆阿克苏地区柯坪县
2021-04-01 23:11:17,5.9,-21.84,-179.51,600,斐济群岛
2021-04-01 17:56:37,6.2,-29.80,-177.60,10,新西兰克马德克群岛
2021-04-01 14:57:09,3.9,34.34,87.76,10,西藏那曲市双湖县
2021-03-31 18:03:22,2,39.65,118.49,17,河北唐山市滦州市
2021-03-30 01:27:24,5.8,34.38,87.68,10,西藏那曲市双湖县
2021-03-29 10:52:51,3.1,36.53,76.91,10,新疆喀什地区叶城县
2021-03-29 08:11:42,3.3,36.35,77.62,93,新疆喀什地区叶城县
2021-03-29 07:01:46,5.7,43.7,-28.72,10,中大西洋海岭北部
2021-03-28 14:41:18,4.6,24.51,122.76,80,台湾宜兰县海域
2021-03-28 13:07:04,3,31.93,92.86,10,西藏那曲市比如县
2021-03-28 12:32:58,3,41.16,83.3,10,新疆阿克苏地区库车市
2021-03-28 08:26:54,5.4,33.55,140.67,60,日本本州东岸远海
2021-03-28 01:24:11,4.1,35.47,89.75,10,青海玉树州治多县
2021-03-27 21:47:55,5.4,42.46,16.1,10,亚得里亚海
2021-03-27 14:32:56,3.2,34.82,91.08,10,青海玉树州治多县
2021-03-27 07:08:30,4.8,40.77,83.22,10,新疆阿克苏地区沙雅县
2021-03-27 06:02:16,6.1,26,125.1,130,琉球群岛西南部
2021-03-27 03:02:03,4.8,27.54,92.71,25,西藏山南市错那县
2021-03-26 15:15:29,3.1,28.19,104.78,10,四川宜宾市珙县
2021-03-26 12:51:39,5.8,16.73,-60.73,20,背风群岛
2021-03-26 09:28:55,3.1,43.97,84.63,9,新疆塔城地区乌苏市
2021-03-26 08:18:30,4,35.26,91.23,10,青海玉树州治多县
2021-03-25 00:57:57,2.3,40.16,116.63,10,北京顺义区
2021-03-24 21:14:13,3.4,41.8,81.01,15,新疆阿克苏地区拜城县
2021-03-24 08:04:35,3.4,41.79,81.06,11,新疆阿克苏地区拜城县
2021-03-24 05:14:16,5.4,41.7,81.11,10,新疆阿克苏地区拜城县
2021-03-23 23:31:15,3.3,36.08,101.29,8,青海海南州贵德县
2021-03-23 19:36:42,2.4,38.09,100.13,10,青海海北州祁连县(有感)
2021-03-23 03:21:11,3,28.44,104.79,10,四川宜宾市长宁县
2021-03-23 01:23:34,4.2,31.93,92.89,10,西藏那曲市比如县
2021-03-22 23:32:53,2.9,31.38,103.44,11,四川阿坝州汶川县
2021-03-22 22:51:50,3.4,31.64,84.93,10,西藏阿里地区改则县
2021-03-21 01:20:39,3,37.6,90.16,8,新疆巴音郭楞州若羌县
2021-03-20 23:30:24,4.7,34.7,83.49,10,西藏阿里地区改则县
2021-03-20 17:09:46,7,38.43,141.84,60,日本本州东岸近海
2021-03-20 15:25:40,3.3,28.06,105,12,云南昭通市威信县
2021-03-20 13:19:31,5.8,-59.68,150.37,10,麦夸里岛地区
2021-03-20 11:06:32,5.4,16.71,-98.72,10,墨西哥
2021-03-20 02:04:10,3.2,31.94,92.89,10,西藏那曲市比如县
2021-03-19 18:57:50,3.9,31.93,104.2,15,四川绵阳市北川县
2021-03-19 14:11:26,6.1,31.94,92.74,10,西藏那曲市比如县
2021-03-18 13:40:47,3,25.12,105.21,5,贵州黔西南州安龙县
2021-03-18 10:10:57,3.1,39.04,110.62,0,陕西榆林市神木市(塌陷)
2021-03-18 08:04:09,5.8,37.07,5.18,10,阿尔及利亚北部海域
2021-03-17 14:27:16,4.2,44.46,80.85,8,新疆伊犁州霍城县
2021-03-17 03:14:13,2.5,28.66,105.79,11,四川泸州市合江县
2021-03-17 02:38:22,6.4,54.67,163.17,10,堪察加东海岸附近海域
2021-03-16 21:16:08,3.4,30.11,86.44,10,西藏日喀则市昂仁县
2021-03-14 20:20:04,3.7,41.22,83.35,18,新疆阿克苏地区库车市
2021-03-14 18:26:00,4.5,41.95,81.11,22,新疆阿克苏地区拜城县
2021-03-14 05:21:56,6.1,-28.30,-176.15,10,新西兰克马德克群岛
2021-03-13 23:41:00,3.5,44.35,81.84,8,新疆博尔塔拉州精河县
2021-03-13 22:05:01,5.5,-29.64,-177.41,10,新西兰克马德克群岛
2021-03-13 21:56:49,3,28.13,104.79,10,四川宜宾市珙县
2021-03-11 04:12:39,5.9,-19.95,-177.65,500,斐济群岛
2021-03-11 02:18:06,3.2,39.08,110.23,0,陕西榆林市神木市（塌陷）
2021-03-10 07:07:54,5.5,-1.00,10.3,10,加蓬
2021-03-09 22:53:57,3,39.49,74.98,11,新疆克孜勒苏州乌恰县
2021-03-08 20:48:07,5.2,-32.25,-69.95,100,阿根廷
2021-03-08 07:56:55,5.9,-29.91,-176.75,10,新西兰克马德克群岛
2021-03-07 19:13:31,3,33.42,111.28,7,河南南阳市西峡县
2021-03-07 09:10:42,3,25.76,98.49,8,云南保山市腾冲市
2021-03-06 21:12:05,6.2,-28.05,-177.75,10,新西兰克马德克群岛
2021-03-06 20:05:21,6.1,-27.90,-177.70,10,新西兰克马德克群岛
2021-03-06 18:34:50,6.1,-28.12,-177.69,10,新西兰克马德克群岛
2021-03-06 08:21:32,3,38,120.41,8,山东烟台市蓬莱区海域
2021-03-06 08:16:20,6.4,-37.66,179.55,10,新西兰北岛海域
2021-03-05 22:24:50,6.3,-29.10,-176.45,10,新西兰克马德克群岛
2021-03-05 16:53:22,3.1,41.81,127.87,25,吉林白山市抚松县
2021-03-05 16:13:43,5.8,-29.45,-176.34,10,新西兰克马德克群岛
2021-03-05 15:32:53,5.6,-1.85,99.05,20,印尼苏门答腊岛南部海域
2021-03-05 12:42:39,3,23.31,100.83,8,云南普洱市景谷县
2021-03-05 10:30:34,6,-28.84,-176.32,10,新西兰克马德克群岛
2021-03-05 08:28:20,6.2,-29.09,-176.20,10,新西兰克马德克群岛海域
2021-03-05 07:12:55,6.7,-28.53,-176.36,10,新西兰克马德克群岛
2021-03-05 04:59:32,3.3,42.1,80.78,7,新疆阿克苏地区拜城县
2021-03-05 03:28:32,7.8,-29.51,-177.04,10,新西兰克马德克群岛
2021-03-05 03:23:54,5.6,39.81,21.92,10,希腊
2021-03-05 02:38:20,6.1,39.78,22.1,10,希腊
2021-03-05 01:57:33,4.2,34.17,80.32,10,西藏阿里地区日土县
2021-03-05 01:41:20,7.2,-29.73,-177.67,10,新西兰克马德克群岛
2021-03-05 00:53:12,5.9,-14.49,167.27,180,瓦努阿图群岛
2021-03-04 22:24:56,4.3,24.75,122.36,10,台湾宜兰县海域
2021-03-04 22:03:54,3,37.61,75.86,79,新疆喀什地区塔什库尔干县
2021-03-04 21:27:32,7.3,-37.41,179.5,10,新西兰北岛海域
2021-03-04 03:47:16,3,40.75,78.61,10,新疆阿克苏地区柯坪县
2021-03-03 18:16:10,6.2,39.74,22.11,10,希腊
2021-03-03 05:22:47,5.7,43.85,147.75,20,千岛群岛
2021-03-02 17:23:00,5.3,21.92,121.17,20,台湾屏东县海域
2021-03-02 09:45:37,3.1,39.2,75.13,30,新疆克孜勒苏州乌恰县
2021-03-02 03:42:58,2.9,34.75,114.7,6,河南开封市兰考县
2021-03-02 01:44:36,3,32.14,104.56,14,四川绵阳市平武县
2021-03-01 18:13:13,3.8,26,100,10,云南大理州洱源县
2021-03-01 11:29:46,5.5,-13.15,166.5,60,瓦努阿图群岛
2021-03-01 07:37:16,5.8,-17.75,167.65,10,瓦努阿图群岛
2021-03-01 04:37:44,5.6,-22.80,172.39,10,洛亚蒂群岛
2021-02-28 10:31:25,3,38.43,76.26,17,新疆克孜勒苏州阿克陶县
2021-02-28 09:12:49,3.3,32.8,101.1,10,青海果洛州班玛县
2021-02-28 04:03:43,3.1,29.07,86.75,10,西藏日喀则市定日县
2021-02-27 19:37:19,3.1,25.51,98.44,8,云南保山市腾冲市
2021-02-26 15:46:08,5.2,8.4,137.96,10,加罗林群岛地区
2021-02-25 12:18:20,2.2,37.3,97.31,10,青海海西州德令哈市（有感）
2021-02-25 11:55:32,2.9,22.59,100.33,11,云南普洱市澜沧县
2021-02-25 11:47:34,3.2,40.16,76.46,34,新疆克孜勒苏州阿图什市
2021-02-24 12:59:10,3.2,31.81,104.11,19,四川阿坝州茂县
2021-02-24 05:45:16,3.2,37.42,75.36,10,新疆喀什地区塔什库尔干县
2021-02-23 01:27:12,2.7,38.89,113.99,15,河北保定市阜平县
2021-02-22 22:57:24,3.6,41.21,83.61,10,新疆阿克苏地区库车市
2021-02-22 09:50:47,4.5,22.42,121.89,75,台湾台东县海域
2021-02-22 03:35:54,3,41.16,114.47,13,河北张家口市张北县
2021-02-21 22:23:09,3,28.36,104.9,10,四川宜宾市长宁县
2021-02-20 02:44:03,3.2,28.79,87.47,17,西藏日喀则市定日县
2021-02-18 23:30:51,5.9,-14.90,-176.60,10,斐济群岛地区
2021-02-18 14:37:33,6.2,-19.00,168.05,30,瓦努阿图群岛
2021-02-18 06:49:37,6,-23.25,171.6,10,洛亚蒂群岛
2021-02-18 02:38:47,4.6,22.23,121.41,16,台湾台东县海域
2021-02-18 02:35:33,5.4,30.8,51.55,10,伊朗
2021-02-17 19:37:25,3.1,24.6,98.7,8,云南保山市龙陵县
2021-02-17 18:29:37,2.8,23.43,105.47,8,云南文山州富宁县
2021-02-17 11:36:08,5.3,38.35,21.95,10,希腊
2021-02-17 01:40:37,3.3,23.04,101.58,8,云南普洱市墨江县
2021-02-16 12:22:47,2.8,28.13,105.08,9,四川宜宾市兴文县
2021-02-16 08:49:23,6.3,-17.70,167.8,10,瓦努阿图群岛
2021-02-16 07:16:58,3.2,41.18,83.31,10,新疆阿克苏地区库车市
2021-02-15 16:23:11,4,28.12,104.84,10,四川宜宾市珙县
2021-02-15 08:21:16,3.2,36.94,78.3,21,新疆和田地区皮山县
2021-02-15 00:16:37,3.7,40.32,76.37,10,新疆克孜勒苏州阿图什市
2021-02-14 23:01:42,5.7,-23.15,171.65,10,洛亚蒂群岛
2021-02-13 23:33:58,5.3,-7.35,149.4,30,新不列颠岛地区
2021-02-13 22:07:50,7.1,37.7,141.8,50,日本本州东岸近海
2021-02-13 09:22:33,3,29.01,100.92,13,四川凉山州木里县
2021-02-13 01:01:35,6.1,38.15,73.55,100,塔吉克斯坦
2021-02-12 18:06:00,5.6,-23.15,171.75,10,洛亚蒂群岛
2021-02-11 20:56:16,3.1,39.63,77.35,23,新疆喀什地区伽师县
2021-02-11 19:13:08,3.1,36.08,79.58,8,新疆和田地区和田县
2021-02-11 16:39:13,5.5,-23.28,171.71,10,洛亚蒂群岛
2021-02-11 16:22:12,5.9,-23.03,171.23,10,洛亚蒂群岛
2021-02-11 14:52:28,5.8,-23.10,171.4,10,洛亚蒂群岛
2021-02-11 12:15:16,5.7,-22.90,170.65,10,洛亚蒂群岛
2021-02-11 08:14:48,5.8,-23.05,171.6,10,洛亚蒂群岛
2021-02-11 07:45:18,5.9,-23.30,171.75,10,洛亚蒂群岛
2021-02-11 05:24:00,6.3,-23.15,171.45,10,洛亚蒂群岛
2021-02-11 04:45:16,5.5,-22.80,171.05,10,洛亚蒂群岛
2021-02-11 02:36:42,6.1,-22.85,171.2,10,洛亚蒂群岛
2021-02-11 00:35:24,6.1,-22.80,171.05,10,洛亚蒂群岛
2021-02-10 21:19:59,7.4,-23.05,171.5,10,洛亚蒂群岛
